# Galaxy: UGC06930
# Distance: 18.00 Mpc
# Source: SPARC (Lelli et al. 2016)
# Data: Real observational rotation curves
# Columns: Rad Vobs errV Vgas Vdisk Vbul SBdisk SBbul
# Units: kpc km/s km/s km/s km/s km/s L_☉/pc² L_☉/pc²
# Note: Vdisk, Vbul for M/L=1 at 3.6μm
   1.740    54.70    8.30     0.00    52.62     0.00      88.43       0.00
   3.500    85.40    7.00     5.24    59.95     0.00      40.84       0.00
   5.240    93.80    6.20    17.89    62.66     0.00      24.98       0.00
   6.980    98.70    5.20    25.97    65.09     0.00      17.98       0.00
   8.720   103.00    5.20    29.85    66.99     0.00      10.91       0.00
  10.470   107.00    5.20    34.48    67.16     0.00       6.05       0.00
  12.190   109.00    5.20    40.30    63.93     0.00       2.66       0.00
  13.940   108.00    7.40    42.57    59.68     0.00       0.84       0.00
  15.680   108.00    7.40    40.84    54.03     0.00       0.00       0.00
  16.610   108.00    7.40    39.98    51.70     0.00       0.00       0.00
