# Galaxy: UGC06917
# Distance: 18.00 Mpc
# Source: SPARC (Lelli et al. 2016)
# Data: Real observational rotation curves
# Columns: Rad Vobs errV Vgas Vdisk Vbul SBdisk SBbul
# Units: kpc km/s km/s km/s km/s km/s L_☉/pc² L_☉/pc²
# Note: Vdisk, Vbul for M/L=1 at 3.6μm
   1.740    59.20    3.50     0.00    56.25     0.00      84.05       0.00
   2.610    71.20    4.00     0.00    59.09     0.00      59.41       0.00
   3.500    84.50    4.40     6.40    61.72     0.00      38.85       0.00
   4.370    93.50    4.50    14.66    63.73     0.00      29.86       0.00
   5.240    97.50    3.50    17.89    64.38     0.00      19.57       0.00
   6.110   100.00    3.50    20.91    64.30     0.00      16.34       0.00
   6.980   101.00    4.00    24.79    64.23     0.00      10.95       0.00
   7.850   103.00    3.50    27.59    62.94     0.00       8.29       0.00
   8.720   105.00    4.00    29.10    61.95     0.00       6.21       0.00
   9.600   110.00    4.90    32.76    60.68     0.00       4.78       0.00
  10.470   111.00    6.00    36.86    60.19     0.00       3.35       0.00
