time,max_intent,total_intent,patterns
0.0,0.999,708.2909999999999,0
1.0000000000000007,0.999,780.8122671099807,0
2.0000000000000013,0.999,819.9850586433768,0
2.99999999999998,0.999,847.9884538151167,0
3.9999999999999587,0.999,870.9293511724727,0
4.999999999999938,0.999,891.0849447061939,0
5.9999999999999165,0.999,909.2750318969167,0
6.999999999999895,0.999,926.0249736700482,0
7.999999999999874,0.999,941.7015566507924,0
8.999999999999853,0.999,956.5079174633763,0
9.999999999999831,0.999,970.5585889253563,0
10.99999999999981,0.999,983.9551637944523,0
11.999999999999789,0.999,996.8042561375823,0
12.999999999999767,0.999,1009.2013569187667,0
13.999999999999746,0.999,1021.2143104638897,0
14.999999999999725,0.999,1032.8806649702688,0
15.999999999999703,0.999,1044.2179187084348,0
16.999999999999858,0.999,1055.2366690135777,0
18.000000000000014,0.999,1065.9489558804744,0
19.00000000000017,0.999,1076.3709613767867,0
20.000000000000327,0.999,1086.5224617897534,0
21.000000000000483,0.999,1096.4249628251646,0
22.00000000000064,0.999,1106.099560051804,0
23.000000000000796,0.999,1115.5652665143584,0
24.000000000000952,0.999,1124.8383312811734,0
25.00000000000111,0.999,1133.9326362533689,0
26.000000000001265,0.999,1142.8606800622358,0
27.00000000000142,0.999,1151.6343236947328,0
28.000000000001577,0.999,1160.264741985962,0
29.000000000001734,0.999,1168.7617357905942,0
30.00000000000189,0.999,1177.1330783532253,0
