time,distance,velocity,p1_x,p1_y,p2_x,p2_y
0.0,40.0,0.0,41.75213675213675,64.0,81.75213675213675,64.0
1.0000000000000007,39.99999999999998,-2.1316282072803006e-14,44.00000000000001,64.0,83.99999999999999,64.0
2.0000000000000013,39.99999999997558,-2.440003754600184e-11,44.0000000000122,64.0,83.99999999998778,64.0
2.99999999999998,39.99999999659318,-3.382396585038805e-09,44.000000001703405,64.0,83.99999999829659,64.0
3.9999999999999587,39.99999991770525,-7.888792907806419e-08,44.00000004114737,64.0,83.99999995885263,64.0
4.999999999999938,39.99999921671887,-7.009863836060504e-07,44.000000391640576,64.0,83.99999960835945,64.0
5.9999999999999165,39.99999576457413,-3.4521447389579407e-06,44.00000211771293,64.0,83.99999788228706,64.0
6.999999999999895,39.999984216837156,-1.1547736974648615e-05,44.000007891581426,64.0,83.99999210841858,64.0
7.999999999999874,39.999954611014125,-2.9605823030465217e-05,44.000022694492934,64.0,83.99997730550706,64.0
8.999999999999853,39.99989183699898,-6.277401514864778e-05,44.0000540815005,63.999999999999986,83.99994591849948,64.00000000000001
9.999999999999831,39.99977609352398,-0.00011574347499987425,44.000111953238005,64.0,83.99988804676198,64.0
10.99999999999981,39.99958403900224,-0.00019205452174020365,44.00020798049888,64.0,83.99979201950111,64.0
11.999999999999789,39.99929023420725,-0.00029380479498541945,44.000354882896374,64.0,83.99964511710363,64.0
12.999999999999767,39.99886855352862,-0.0004216806786345728,44.0005657232357,63.99999999999999,83.99943427676432,64.00000000000001
13.999999999999746,39.998293376261984,-0.0005751772666329202,44.00085331186901,64.0,83.99914668813099,64.0
14.999999999999725,39.9975404847662,-0.0007528914957859456,44.001229757616905,64.0,83.9987702423831,64.0
15.999999999999703,39.99658767087712,-0.0009528138890786408,44.00170616456144,64.0,83.99829383543856,64.0
16.999999999999858,39.99541509021959,-0.0011725806575313413,44.00229245489022,64.0,83.9977075451098,64.00000000000001
18.000000000000014,39.99400541768325,-0.0014096725363401674,44.00299729115839,64.00000000000001,83.99700270884163,64.0
19.00000000000017,39.99234385697309,-0.0016615607101542196,44.00382807151345,64.0,83.99617192848655,64.0
20.000000000000327,39.99041805020326,-0.001925806769833116,44.00479097489837,64.0,83.99520902510163,64.0
21.000000000000483,39.98821792439535,-0.0022001258079100694,44.00589103780232,64.0,83.99410896219767,64.0
22.00000000000064,39.98573550278927,-0.0024824216060821414,44.00713224860537,64.00000000000001,83.99286775139464,64.0
23.000000000000796,39.982964701102965,-0.0027708016863030593,44.00851764944853,64.0,83.9914823505515,64.0
24.000000000000952,39.97990112260177,-0.0030635785011980943,44.01004943869912,64.00000000000001,83.98995056130089,64.0
25.00000000000111,39.976541861012834,-0.0033592615889332933,44.01172906949358,64.0,83.98827093050642,64.0
26.000000000001265,39.97288531675096,-0.003656544261872341,44.013557341624534,64.0,83.9864426583755,64.00000000000001
27.00000000000142,39.96893102936645,-0.003954287384509314,44.01553448531677,64.0,83.98446551468322,64.0
28.000000000001577,39.96467952735799,-0.004251502008465025,44.01766023632101,64.0,83.982339763679,64.0
29.000000000001734,39.96013219531392,-0.004547332044069208,44.01993390234304,64.0,83.98006609765696,64.0
30.00000000000189,39.95529115759598,-0.004841037717937979,44.02235442120201,64.0,83.97764557879799,63.99999999999999
31.000000000002046,39.95015917733849,-0.005131980257488067,44.024920411330754,64.0,83.97507958866925,64.00000000000001
32.0000000000022,39.944739569306044,-0.005419608032447343,44.02763021534697,64.0,83.97236978465301,64.0
33.000000000002004,39.9390361250713,-0.005703444234747224,44.030481937464344,64.0,83.96951806253564,64.0
34.000000000001805,39.933053048986864,-0.005983076084433492,44.03347347550657,64.0,83.96652652449343,64.0
35.000000000001606,39.92679490349958,-0.006258145487286981,44.03660254825021,64.0,83.96339745174978,63.99999999999999
36.00000000000141,39.92026656246481,-0.006528341034766072,44.03986671876759,64.0,83.9601332812324,64.0
37.00000000000121,39.913473171246835,-0.0067933912179753975,44.04326341437658,64.0,83.95673658562342,64.0
38.00000000000101,39.90642011252664,-0.007053058720195793,44.04678994373669,64.0,83.95321005626333,64.0
39.00000000000081,39.899112976871955,-0.007307135654684771,44.05044351156402,64.0,83.94955648843597,64.0
40.00000000000061,39.89155753725286,-0.00755543961909666,44.05422123137357,64.00000000000001,83.94577876862643,64.0
41.00000000000041,39.88375972680448,-0.00779781044838046,44.05812013659776,63.99999999999999,83.94187986340224,64.0
42.00000000000021,39.87572561924679,-0.008034107557683967,44.06213719037659,64.0,83.93786280962338,64.0
43.000000000000014,39.86746141146779,-0.008264207779006938,44.06626929426611,64.0,83.9337307057339,64.0
43.999999999999815,39.858973407860745,-0.008488003607041605,44.070513296069635,64.0,83.92948670393038,64.00000000000001
44.999999999999616,39.85026800608139,-0.008705401779351973,44.0748659969593,64.0,83.9251340030407,64.0
45.99999999999942,39.84135168395344,-0.008916322127952014,44.079324158023276,64.0,83.92067584197672,64.0
46.99999999999922,39.8322309873051,-0.009120696648338367,44.08388450634745,64.0,83.91611549365255,64.00000000000001
47.99999999999902,39.82291251856534,-0.00931846873976383,44.088543740717334,64.0,83.91145625928267,64.0
48.99999999999882,39.81340292598644,-0.00950959257890105,44.093298537006774,64.0,83.90670146299321,64.0
49.99999999999862,39.80370889339038,-0.009694032596058832,44.0981455533048,64.00000000000001,83.90185444669518,64.0
