amplitude,retention,resistance_at_peak
0.95,0.9999999968944937,0.09750000000000003
0.94,0.9999999753283175,0.11640000000000006
0.93,0.9999998692074749,0.1350999999999999
0.92,0.9999994827047388,0.15359999999999996
0.91,0.9999983598606761,0.17189999999999994
0.9,0.9999956210079255,0.18999999999999995
0.85,0.9998815848125213,0.2775000000000001
0.8,0.9992426312219127,0.3599999999999999
0.75,0.9975559290491197,0.4375
0.7,0.9945783282042655,0.51
