pattern,saturation,is_moving,velocity,is_oscillating,period,retention
L_shape,0.7,False,0.0,True,5,0.029698291374126818
L_shape,0.8,False,0.0,True,5,0.03306651500127834
L_shape,0.85,False,0.0,True,5,0.035704051382377866
glider_3,0.7,False,0.0,True,5,0.04863412645652253
glider_3,0.8,False,0.0,True,5,0.05418682143200382
glider_3,0.85,False,0.0,True,5,0.058541133421882385
arrow,0.7,False,0.0,True,5,0.04941512135821856
arrow,0.8,False,0.0,True,5,0.055087045180304314
arrow,0.85,False,0.0,True,5,0.059543985140679864
wedge,0.7,False,0.0,True,5,0.05851546997428832
wedge,0.8,False,0.0,True,5,0.06524979633031114
wedge,0.85,False,0.0,True,5,0.07054749357595337
dumbbell,0.7,False,0.0,True,5,0.05066058871287834
dumbbell,0.8,False,0.0,True,5,0.0563876836148385
dumbbell,0.85,False,0.0,True,5,0.06086901463924474
triple,0.7,False,0.0,True,5,0.03902212780725323
triple,0.8,False,0.0,True,5,0.04341326725637688
triple,0.85,False,0.0,True,5,0.04684240601269791
diagonal_pair,0.7,False,0.0,True,5,0.02895885701145127
diagonal_pair,0.8,False,0.0,True,5,0.03220814935047726
diagonal_pair,0.85,False,0.0,True,5,0.03474490280457678
off_center_disk,0.7,False,0.0,True,5,0.26676686154521484
off_center_disk,0.8,False,0.0,True,5,0.3024371185761324
off_center_disk,0.85,False,0.0,True,5,0.3316995162129392
spiral_seed,0.7,False,0.0,True,5,0.06813536452788568
spiral_seed,0.8,False,0.0,True,5,0.07599701670914648
spiral_seed,0.85,False,0.0,True,5,0.08218283107436206
pulse_line,0.7,False,0.0,True,5,0.07062431725271855
pulse_line,0.8,False,0.0,True,5,0.0786840357124297
pulse_line,0.85,False,0.0,True,5,0.08500939884828507
pulse_vertical,0.7,False,0.0,True,5,0.07062431725271855
pulse_vertical,0.8,False,0.0,True,5,0.07868403571242968
pulse_vertical,0.85,False,0.0,True,5,0.08500939884828505
