amplitude,radius,initial_max,final_max,retention
0.9,10,0.9,0.8809321023523652,0.9788134470581835
0.8,10,0.8,0.6628146761178715,0.8285183451473394
0.7,10,0.7,0.4998619688211743,0.7140885268873919
0.65,10,0.65,0.438822398572508,0.6751113824192431
0.6,10,0.6,0.3865019315406359,0.6441698859010598
